"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1210, 2.2ÂµF/100V","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C2,C3,C60,C62,C63,C64","6","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C7,C8,C9,C11,C14,C16,C19,C20,C21,C22,C23,C24,C25,C28,C29,C30,C31,C32,C39,C44,C59,C61,C65,C66,C67,C68,C69,C70","29","470n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C13,C15,C17,C50,C54,C57,C78,C83,C84,C85,C86,C87,C88,C90,C95,C96","17","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","100u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10,C12,C56,C91,C99","5","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C26","1","3.3n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C33,C36,C37,C71,C72","5","47u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C34","1","330u","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","~"
"C35","1","100u","","","","Capacitor_Tantalum_SMD:CP_EIA-2012-15_AVX-P","~"
"C38,C40,C41,C42,C43,C45,C46,C47,C51,C52,C53,C55,C58,C73,C74,C75,C76,C77","18","4.7u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C48,C49,C89,C94","4","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C80,C82","2","6pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C92,C93","2","2.2u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C97","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C101,C102,C103","3","1u","","","","Capacitor_Tantalum_SMD:CP_EIA-2012-15_AVX-P","~"
"D1","1","IR26-21C_L110_TR8","","","","LED_SMD:LED_1206_3216Metric","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf"
"IC1","1","XC7A100T-1FTG256C","","","","XC7A100T-FTG256:FTG256_AMD","https://www.xilinx.com/support/documentation/data_sheets/ds181_Artix_7_Data_Sheet.pdf"
"J1","1","FFC3B11-40-T","","","","KiCad:FH12A40S05SH55",""
"J2","1","~","","","","debug_FPGA:CONN14_877591414_MOL",""
"J3","1","Conn_ST_STDC14","","","","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD","https://www.st.com/content/ccc/resource/technical/document/user_manual/group1/99/49/91/b6/b2/3a/46/e5/DM00526767/files/DM00526767.pdf/jcr:content/translations/en.DM00526767.pdf"
"J4","1","10067847-001RLF","","","","10067847-001RLF:AMPHENOL_10067847-001RLF",""
"J5","1","USB_B_Micro","","","","micro_usbb:CONN_10118192-0002LF_AMP","~"
"J6","1","AHDF15A-KG-TAXB","","","","","AHDF15A-KG-TAXB"
"J7","1","Conn_01x14_Pin","","","","debug_FPGA:CONN14_877591414_MOL","~"
"J8","1","Conn_01x14_Pin","","","","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD","~"
"JP1,JP2,JP3,JP4","4","G800W306018EU","","","","G800W306018EU:AMPHENOL_G800W306018EU",""
"L1","1","18uH","","","","Inductor_SMD:L_0805_2012Metric","~"
"L2,L3","2","1.5u","","","","Inductor_SMD:L_0805_2012Metric","~"
"L4,L6","2","2.2u","","","","Inductor_SMD:L_0805_2012Metric","~"
"R1","1","30.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R4,R10","3","22.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","6.81k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","200","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R25,R26,R30,R33,R34","6","100","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8","2","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","73.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12,R13","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14,R16,R18,R20,R21,R24,R29,R32,R35,R37,R39,R41","12","536","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R17,R19,R22,R27,R31,R36,R38,R40","9","270","","","","Resistor_SMD:R_0805_2012Metric","~"
"R23,R28,R55","3","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R42","1","THB001P","","","","COM-09032:XDCR_COM-09032","THB001P"
"R45,R85,R86","3","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R46,R47,R48,R49,R50,R51,R52,R53,R54,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74","28","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R75,R76,R77,R78","4","47","","","","Resistor_SMD:R_0805_2012Metric","~"
"R79,R80,R81,R82,R83,R84","6","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","2S7A_0518S1U","","","","2S7A_0518S1U:SIP4_2S7A_GAP","2S7A_0518S1U"
"U2,U6","2","IS66WVE4M16EBLL-70BLI","","","","CY6215EV:SOP80P1184X119-44N","https://www.cypress.com/file/43021/download"
"U3","1","TPS54294PWP","","","","TPS54294PWP:PWP16_2P31X2P46","https://www.ti.com/lit/gpn/tps54294"
"U4","1","TPS54325PWPR","","","","TPS54325PWPR:PWP14_2P31X2P46",""
"U5,U8","2","SN74ALVC245PWR","","","","SN74ALVC245PWR:PW20","https://www.ti.com/lit/gpn/sn74alvc245"
"U7","1","S25FL127S","","","","fpga_flash:SOIC127P800X216-8N",""
"U9,U11,U14,U16","4","MAN72A","","","","Display_7Segment:MAN72A","https://www.digchip.com/datasheets/parts/datasheet/161/MAN3640A-pdf.php"
"U10,U12,U15,U17","4","MC14511BDG","","","","MC14511BDG:SOIC-16_ONS","MC14511BDG"
"U13","1","STM32U545VETxQ","","","","Package_QFP:LQFP-100_14x14mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32u545ve.pdf"
"U18,U19","2","PTS645SM43SMTR92LFS","","","","PTS645SM43SMTR92-LFS:SWITCH_43SMTR92LFS","PTS645SM43SMTR92LFS"
"Y1","1","100Hz","","","","100Hz_crystal:CB3LV3C100M000000",""
"Y2","1","48MHz","","","","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","~"
